PLAYER,TEAM,AGE,HEIGHT_EXCEL_ERROR,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT_unformatted,HEIGHT
A.J. Lawson,DAL,23,6-Jun,179,South Carolina,Canada,Undrafted,Undrafted,Undrafted,8,3.1,0.5,0.4,13.2,3.4,3.6,20.6,48.5,7.7,6-6,78
AJ Green,MIL,24,4-Jun,190,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,18,3.4,0.8,0.7,7.6,2.4,7.5,13.2,64.3,10.8,6-4,76
AJ Griffin,ATL,20,6-Jun,220,Duke,USA,2022,1,16,12,2.5,1,0.3,-10.7,1.7,10.2,13.8,43,4.7,6-6,78
Aaron Gordon,DEN,28,8-Jun,235,Arizona,USA,2014,1,4,23,13,7.2,3.6,5.5,8.6,13,17.8,53.2,14.8,6-8,80
Aaron Holiday,HOU,27,Jun-00,185,UCLA,USA,2018,1,23,21,6.8,1.9,1.9,6.5,1.5,8,14.5,58.3,15.4,6-1,73
Aaron Nesmith,IND,24,6-Jun,215,Vanderbilt,USA,2020,1,14,23,11.5,3.1,1,-1.4,3.9,8.8,15.4,66,5,6-6,78
Aaron Wiggins,OKC,24,5-Jun,190,Maryland,USA,2021,2,55,22,5.2,2,0.7,4.4,5.2,10.5,15.1,72,8.6,6-5,77
Admiral Schofield,ORL,26,5-Jun,241,Tennessee,United Kingdom,2019,2,42,8,0.9,0.6,0.3,-6.2,0,15.6,21.7,32.2,13.3,6-5,77
Al Horford,BOS,37,9-Jun,240,Florida,Dominican Republic,2007,1,3,22,7.4,6.9,2.7,9.3,6.5,18,11.2,62,13.6,6-9,81
Alec Burks,DET,32,5-Jun,214,Colorado,USA,2011,1,12,19,9.4,2.2,1.4,-12.6,2.5,9.4,21.1,52.7,12.4,6-5,77
Aleksej Pokusevski,OKC,21,Jul-00,210,None,Serbia,2020,1,17,7,0.9,1.1,0.7,-31.2,4.3,18.2,15.2,25.3,16.7,7-1,85
Alex Caruso,CHI,29,5-Jun,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,22,9.4,3.3,2.3,-3.1,4.8,9.6,15.4,68.2,15.4,6-5,77
Alex Fudge,LAL,20,8-Jun,200,Florida,USA,Undrafted,Undrafted,Undrafted,4,1,0.5,0,-77.3,13.3,0,21.1,29.1,0,6-8,80
Alex Len,SAC,30,Jul-00,250,Maryland,Ukraine,2013,1,5,6,2.5,2.7,0.8,19,14.9,22.5,12.3,67.7,15.2,7-1,85
Alperen Sengun,HOU,21,11-Jun,243,None,Turkey,2021,1,16,23,19.7,9,5.2,5.2,7.7,19,26.6,57.6,26.4,6-11,83
Amari Bailey,CHA,19,3-Jun,185,UCLA,USA,2023,2,41,2,2.5,1,0,-1.4,20,0,29.6,36.3,0,6-3,75
Amen Thompson,HOU,20,7-Jun,200,None,USA,2023,1,4,5,5.4,3.2,1.4,-9.4,3.4,19.1,18.8,49.1,13.5,6-7,79
Amir Coffey,LAC,26,7-Jun,210,Minnesota,USA,Undrafted,Undrafted,Undrafted,14,2.5,1.1,0.4,0.9,2.9,9.4,11.4,49.9,5.8,6-7,79
Andre Drummond,CHI,30,11-Jun,279,Connecticut,USA,2012,1,9,28,6,6.8,0.5,-1.5,19.5,30.5,20.7,53.4,6.3,6-11,83
Andre Jackson Jr.,MIL,22,6-Jun,209,Connecticut,USA,2023,2,36,20,2.8,1.8,0.9,-1.3,8.1,9.5,9.6,72.4,11.3,6-6,78
Andrew Nembhard,IND,23,4-Jun,191,Gonzaga,Canada,2022,2,31,17,7,1.7,4.1,4.3,2.7,6.3,18.2,50.4,27.5,6-4,76
Andrew Wiggins,GSW,28,7-Jun,197,Kansas,Canada,2014,1,1,24,12.6,4.5,1.1,-8.4,6.5,9.5,22,50.2,6.5,6-7,79
Anfernee Simons,POR,24,3-Jun,193,None,USA,2018,1,24,7,25.7,3,5.6,-14.1,2.2,6.8,29,59.3,28.9,6-3,75
Anthony Black,ORL,19,7-Jun,200,Arkansas,USA,2023,1,6,23,5.2,2.5,1.6,4.7,3.3,9.3,11.3,57,10.8,6-7,79
Anthony Davis,LAL,30,10-Jun,253,Kentucky,USA,2012,1,1,24,23.9,12.5,3,3.6,10.3,22.9,25.5,61.1,13.3,6-10,82
Anthony Edwards,MIN,22,4-Jun,225,Georgia,USA,2020,1,1,21,24.2,5.3,5.1,13.2,2.2,12.2,31.1,56.5,23.6,6-4,76
Anthony Gill,WAS,31,8-Jun,230,Virginia,USA,Undrafted,Undrafted,Undrafted,16,2.3,1.4,0.4,17.9,8.9,13.7,17.9,54.2,8.8,6-8,80
Armoni Brooks,BKN,25,3-Jun,195,Houston,USA,2019,,,7,3.6,1.7,0.4,27.5,7.1,9.6,18.4,46.3,5.7,6-3,75
Ausar Thompson,DET,20,6-Jun,205,None,USA,2023,1,5,26,10.3,8.1,2.4,-13.8,9.1,20,17.8,51.2,12.8,6-6,78
Austin Reaves,LAL,25,5-Jun,197,Oklahoma,USA,Undrafted,Undrafted,Undrafted,26,14.8,4.8,4.9,-1.9,3.4,12.2,20.8,59.9,24.4,6-5,77
Ayo Dosunmu,CHI,23,5-Jun,200,Illinois,USA,2021,2,38,26,6.9,2.1,1.9,-3.8,2.6,7.4,14.2,57.5,13.2,6-5,77
Bam Adebayo,MIA,26,9-Jun,255,Kentucky,USA,2017,1,14,16,22.3,9.9,3.9,-1.7,6.2,24.6,27.9,58.9,20.4,6-9,81
Ben Sheppard,IND,22,6-Jun,190,Belmont,USA,2023,1,26,12,3.4,0.7,0.7,4.6,2.1,7.4,16.1,55.9,9.4,6-6,78
Ben Simmons,BKN,27,10-Jun,240,Louisiana State,Australia,2016,1,1,6,6.5,10.8,6.7,-7.1,8.1,23.9,11.8,51.6,26,6-10,82
Bennedict Mathurin,IND,21,5-Jun,210,Arizona,Canada,2022,1,6,25,14.2,3.8,2.2,-2.7,4.4,10.4,22.3,55.5,11.2,6-5,77
Bilal Coulibaly,WAS,19,8-Jun,195,None,France,2023,1,7,24,9.4,4.1,1.7,-8.9,2.7,12.7,14.1,63.3,8.3,6-8,80
Bismack Biyombo,MEM,31,8-Jun,255,None,DRC,2011,1,7,19,5.9,6.8,1.9,-4.6,8.8,17.9,11.2,57.5,10.5,6-8,80
Blake Wesley,SAS,20,3-Jun,185,Notre Dame,USA,2022,1,25,6,1.2,0.3,1,-61.1,2.5,6.3,15.4,39.4,60,6-3,75
Boban Marjanovic,HOU,35,4-Jul,290,None,Serbia,Undrafted,Undrafted,Undrafted,3,3.3,2.7,1,-11.9,11.1,30,19.6,53,18.8,7-4,88
Bobby Portis,MIL,28,10-Jun,250,Arkansas,USA,2015,1,22,26,12.3,6.6,1.1,6.7,6.9,20.2,20.1,57.8,6.2,6-10,82
Bogdan Bogdanovic,ATL,31,5-Jun,225,None,Serbia,2014,1,27,24,17.5,3.4,2.5,3.9,1.4,10.9,21.9,61.3,13,6-5,77
Bojan Bogdanovic,DET,34,7-Jun,226,None,Croatia,2011,2,31,7,20.6,2.3,2.6,-20.6,1.5,6.8,25.5,62.6,13.4,6-7,79
Bol Bol,PHX,24,3-Jul,220,Oregon,Sudan,2019,2,44,6,0.7,0.5,0,-53.4,0,20,14.3,66.7,0,7-3,87
Bones Hyland,LAC,23,2-Jun,169,Virginia Commonwealth,USA,2021,1,26,13,8.2,1.2,1.9,1.7,1,5.8,24,52.8,17.9,6-2,74
Bradley Beal,PHX,30,4-Jun,207,Florida,USA,2012,1,3,6,14.7,3.3,3.2,-14.1,1.9,11.4,26,55.3,23.8,6-4,76
Brandin Podziemski,GSW,20,4-Jun,205,Santa Clara,USA,2023,1,19,20,8.5,5,2.7,6.8,6,15.5,16.6,54.8,16.6,6-4,76
Brandon Boston Jr.,LAC,22,6-Jun,188,Kentucky,USA,2021,2,51,2,4.5,1,1,-30.5,0,14.3,26.7,64.3,33.3,6-6,78
Brandon Ingram,NOP,26,8-Jun,190,Duke,USA,2016,1,2,24,23.1,4.8,5.3,2.6,1.7,12.9,28.7,57.7,24.6,6-8,80
Brandon Miller,CHA,21,7-Jun,200,Alabama,USA,2023,1,2,22,14.8,4.1,2.3,-6.4,2.7,9.9,20.3,53.9,10.2,6-7,79
Braxton Key,DEN,26,8-Jun,225,Virginia,USA,Undrafted,Undrafted,Undrafted,6,0.5,0.5,0.8,-36.4,0,25,17.6,25.5,45.5,6-8,80
Brice Sensabaugh,UTA,20,5-Jun,235,Ohio State,USA,2023,1,28,1,0,2,0,40,25,33.3,28.6,0,0,6-5,77
Brook Lopez,MIL,35,1-Jul,282,Stanford,USA,2008,1,10,26,13.2,4.8,1.4,4.2,4.5,10,15.6,61.4,6.3,7-1,85
Bruce Brown,IND,27,4-Jun,202,Miami,USA,2018,2,42,25,12.1,4.6,2.8,1.6,2.5,13,15.9,55.4,10.6,6-4,76
Bruno Fernando,ATL,25,9-Jun,240,Maryland,Angola,2019,2,34,7,2.9,1.7,0.1,-9.3,12.8,24.1,25.3,53.6,4.8,6-9,81
Bryce McGowens,CHA,21,6-Jun,175,Nebraska,USA,2022,2,40,19,5,1.8,0.8,-13.4,1.9,8.9,12.4,59.6,6.8,6-6,78
Buddy Hield,IND,31,4-Jun,220,Oklahoma,Bahamas,2016,1,6,25,12.6,3,2.6,2.7,2.6,9.3,19.2,57.8,12.3,6-4,76
CJ McCollum,NOP,32,3-Jun,190,Lehigh,USA,2013,1,10,14,20.6,4,5.1,1.6,2.2,10,23.7,59,23.9,6-3,75
Cade Cunningham,DET,22,6-Jun,220,Oklahoma State,USA,2021,1,1,26,21.4,3.8,7,-11.8,1.3,9.9,29.7,51.8,32.1,6-6,78
Caleb Houstan,ORL,20,8-Jun,205,Michigan,Canada,2022,2,32,16,3.4,1.6,0.4,-6.3,3.6,11.3,10.8,66.9,6.4,6-8,80
Caleb Martin,MIA,28,5-Jun,205,Nevada,USA,Undrafted,Undrafted,Undrafted,16,12.6,5,2.4,2.9,5.2,14,20.7,53.2,12.4,6-5,77
Cam Reddish,LAL,24,7-Jun,217,Duke,USA,2019,1,10,21,7.1,2.8,1.3,2.7,2.5,8.6,12.7,54.8,6.7,6-7,79
Cam Thomas,BKN,22,3-Jun,210,Louisiana State,Japan,2021,1,27,16,23.9,3.3,2.3,-4.1,0.6,9.7,30.7,55.1,11,6-3,75
Cam Whitmore,HOU,19,7-Jun,230,Villanova,USA,2023,1,20,5,4,1.6,0.4,-20.2,2.9,24.1,28.6,51.5,10.5,6-7,79
Cameron Johnson,BKN,27,8-Jun,210,North Carolina,USA,2019,1,11,18,14.3,5.3,2.7,3.6,5.1,12.3,19.2,57.9,13.2,6-8,80
Cameron Payne,MIL,29,3-Jun,183,Murray State,USA,2015,1,14,26,6.3,1.2,2.5,0.6,0.2,6.9,15.7,59.4,19.4,6-3,75
Caris LeVert,CLE,29,6-Jun,205,Michigan,USA,2016,1,20,19,15.2,3.6,3.5,-0.5,1.7,10.2,22.8,51.5,16.7,6-6,78
Cason Wallace,OKC,20,3-Jun,195,Kentucky,USA,2023,1,10,24,7.2,2.3,1.4,7.5,2.6,7.3,11.1,70.7,7.8,6-3,75
Cedi Osman,SAS,28,7-Jun,230,None,Turkey,2015,2,31,25,8.5,2.4,1.8,-16.6,2.1,10.6,16.5,59,13.3,6-7,79
Charles Bassey,SAS,23,10-Jun,230,Western Kentucky,Nigeria,2021,2,53,19,3.3,4,1.1,-11.6,10.2,26.5,11,73.9,13.6,6-10,82
Charlie Brown Jr.,NYK,26,6-Jun,199,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted,1,0,0,0,-56.7,0,0,60,0,0,6-6,78
Chet Holmgren,OKC,21,1-Jul,195,Gonzaga,USA,2022,1,2,24,16.9,8.1,2.4,8.6,6,18.5,21,63.7,11,7-1,85
Chimezie Metu,PHX,26,10-Jun,225,Southern California,USA,2018,2,49,16,4.2,1.9,0.4,-2.8,4.2,13.9,16.4,60.6,5.4,6-10,82
Chris Boucher,TOR,30,9-Jun,200,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted,23,6.4,3.7,0.3,0.5,7.5,17.5,17.6,56.6,3.4,6-9,81
Chris Duarte,SAC,26,5-Jun,190,Oregon,Dominican Republic,2021,1,13,21,4.1,1.8,0.9,0.4,1.4,12.8,14.9,50.6,8.5,6-5,77
Chris Livingston,MIL,20,6-Jun,220,Kentucky,USA,2023,2,58,5,1.4,1,0.2,4.1,6.3,16.7,10.6,87.5,5.9,6-6,78
Chris Paul,GSW,38,Jun-00,175,Wake Forest,USA,2005,1,4,23,8.5,3.6,7.4,2.8,1.1,11.4,14.4,51.7,36.9,6-1,73
Christian Braun,DEN,22,6-Jun,220,Kansas,USA,2022,1,21,27,8.9,3.9,1.8,-1.2,3.7,13.9,17.7,56.3,12.9,6-6,78
Christian Wood,LAL,28,8-Jun,214,UNLV,USA,Undrafted,Undrafted,Undrafted,24,7.4,6,1,0.8,5.3,22.6,16.9,55.2,6.7,6-8,80
Chuma Okeke,ORL,25,7-Jun,229,Auburn,USA,2019,1,16,12,1.1,1,0.3,-6.5,5.2,15,13.2,43.3,8.1,6-7,79
Clint Capela,ATL,29,10-Jun,256,None,Switzerland,2014,1,25,24,11.5,10.5,1.1,-1.1,16.5,22.4,16.1,59.4,5.7,6-10,82
Coby White,CHI,23,5-Jun,195,North Carolina,USA,2019,1,7,28,17.5,4,4.9,-0.4,1.3,10.4,20.6,59.9,20.5,6-5,77
Cody Zeller,NOP,31,11-Jun,240,Indiana,USA,2013,1,4,21,1.8,3,1.2,6.9,9.8,17.4,10.5,39.7,14.8,6-11,83
Colby Jones,SAC,21,6-Jun,207,Xavier,USA,2023,2,34,10,2.9,1.4,0.2,-11.8,7.5,11.1,19.2,49.5,5.1,6-6,78
Cole Anthony,ORL,23,2-Jun,185,North Carolina,USA,2020,1,15,25,14.8,4.2,3.6,-0.6,4.1,12.7,24.3,58.2,22.5,6-2,74
Cole Swider,MIA,24,8-Jun,220,Syracuse,USA,Undrafted,Undrafted,Undrafted,3,5.3,0.3,1,5,0,3.3,21.4,57.1,15.8,6-8,80
Colin Castleton,LAL,23,10-Jun,250,Florida,USA,Undrafted,Undrafted,Undrafted,4,3,1.8,0.8,-20,11.5,16.7,14.5,67.6,18.8,6-10,82
Collin Gillespie,DEN,24,1-Jun,195,Villanova,USA,Undrafted,Undrafted,Undrafted,10,2,0.3,0.8,-2.2,0,4.2,12.4,51.4,11.6,6-1,73
Collin Sexton,UTA,24,3-Jun,190,Alabama,USA,2018,1,8,26,14.3,2.7,3.3,-5,3.8,8,25.1,59.7,24.4,6-3,75
Corey Kispert,WAS,24,6-Jun,224,Gonzaga,USA,2021,1,15,24,11.2,2.4,1.5,-12.5,1.7,8.1,18.3,60.3,9.2,6-6,78
Cory Joseph,GSW,32,2-Jun,200,Texas,Canada,2011,1,29,11,2,0.9,2.2,5.3,1.5,6.4,11.8,35.4,23.8,6-2,74
Craig Porter Jr.,CLE,23,1-Jun,180,Wichita State,USA,Undrafted,Undrafted,Undrafted,15,7.1,1.9,2.5,-6.8,2.1,10.8,22,57.9,27.4,6-1,73
D'Angelo Russell,LAL,27,3-Jun,193,Ohio State,USA,2015,1,2,25,16,3.2,6.4,1.9,1.2,8.8,21.8,58.2,29.7,6-3,75
D'Moi Hodge,LAL,24,3-Jun,188,Missouri,British Virgin Islands,Undrafted,Undrafted,Undrafted,7,2,0,0.7,-44.2,0,0,17.2,44.1,22.7,6-3,75
DaQuan Jeffries,NYK,26,5-Jun,222,Tulsa,USA,Undrafted,Undrafted,Undrafted,9,0.8,0.6,0.2,-5.4,0,16.1,18,35.4,11.8,6-5,77
Daishen Nix,MIN,21,3-Jun,226,None,USA,Undrafted,Undrafted,Undrafted,6,1.3,0.2,0,25.6,0,4.5,17.3,45,0,6-3,75
Dalano Banton,BOS,24,8-Jun,204,Nebraska,Canada,2021,2,46,12,2.8,2.1,0.4,-7,9.5,14.9,15.5,53.7,8.5,6-8,80
Dalen Terry,CHI,21,7-Jun,195,Arizona,USA,2022,1,18,12,1.3,1.3,0.8,-2.4,4.6,14.5,11.6,42.6,15.5,6-7,79
Damian Jones,CLE,28,10-Jun,245,Vanderbilt,USA,2016,1,30,11,0.8,1,0.3,-38.6,6.7,14.9,10.5,50.7,11.1,6-10,82
Damian Lillard,MIL,33,2-Jun,195,Weber State,USA,2012,1,6,24,25.8,4.5,7.1,6.1,1.7,10,27.2,61.5,28.2,6-2,74
Daniel Gafford,WAS,25,10-Jun,234,Arkansas,USA,2019,2,38,22,10.7,7.8,1.8,-7,10.8,17.5,14.1,70.9,8.9,6-10,82
Daniel Theis,LAC,31,8-Jun,245,None,Germany,Undrafted,Undrafted,Undrafted,16,6.5,3.9,0.8,5.5,9.7,12.2,17.6,50.2,6.8,6-8,80
Danilo Gallinari,WAS,35,10-Jun,236,None,Italy,2008,1,6,23,7.3,3,1.3,-8.7,3.1,16.6,18,58.9,12.3,6-10,82
Danny Green,PHI,36,6-Jun,215,North Carolina,USA,2009,2,46,2,0,1,0.5,-5.9,0,11.1,4.3,0,5.6,6-6,78
Dante Exum,DAL,28,5-Jun,214,None,Australia,2014,1,5,22,8.1,2.8,2.5,14.5,3.7,12.6,17.5,64.8,19.1,6-5,77
Danuel House Jr.,PHI,30,6-Jun,220,Texas A&M,USA,Undrafted,Undrafted,Undrafted,15,4.3,1.3,0.9,5.1,3.7,7.8,14.3,60.2,11.8,6-6,78
Dario Saric,GSW,29,10-Jun,225,None,Croatia,2014,1,12,26,10.6,5.8,2.2,4.4,7.2,19.3,19.4,60.8,15.3,6-10,82
Dariq Whitehead,BKN,19,6-Jun,220,Duke,USA,2023,1,22,1,1,0,0,-100,0,0,14.3,56.8,0,6-6,78
Darius Garland,CLE,23,1-Jun,192,Vanderbilt,USA,2019,1,5,20,20.7,2.8,5.9,4.1,1.8,6.1,27.1,57.3,26.5,6-1,73
David Roddy,MEM,22,4-Jun,255,Colorado State,USA,2022,1,23,24,8.4,4.4,1.3,-5.8,4,13.2,16.4,49,7.2,6-4,76
Davion Mitchell,SAC,25,Jun-00,202,Baylor,USA,2021,1,9,18,4.2,1,2.3,-18.4,0.7,6.3,14.7,45.9,23.6,6-1,73
Davis Bertans,OKC,31,10-Jun,225,None,Latvia,2011,2,42,9,3.9,0.9,0.8,12.3,1.4,10.3,14.2,68.4,11.5,6-10,82
Day'Ron Sharpe,BKN,22,9-Jun,265,North Carolina,USA,2021,1,29,25,6.5,6.8,1.1,9.5,15.5,24.5,17.6,56,9.7,6-9,81
De'Aaron Fox,SAC,25,3-Jun,185,Kentucky,USA,2017,1,5,18,30.1,4.4,6.4,4.3,2.3,9.8,32,58.6,29.2,6-3,75
De'Andre Hunter,ATL,26,8-Jun,221,Virginia,USA,2019,1,4,22,14.9,4.1,1.3,-1.4,2,11.8,18.3,60.1,5.6,6-8,80
De'Anthony Melton,PHI,25,3-Jun,200,Southern California,USA,2018,2,46,26,11.9,4,3.5,10.7,2.9,10.5,17.3,54,15.1,6-3,75
DeAndre Jordan,DEN,35,11-Jun,265,Texas A&M,USA,2008,2,35,11,5,5.2,1.1,-10.3,12.3,21.1,17.3,53.3,11.3,6-11,83
DeMar DeRozan,CHI,34,6-Jun,220,Southern California,USA,2009,1,9,26,22.2,3.6,5.2,-6,2.1,8.2,25.4,54.3,23.3,6-6,78
Dean Wade,CLE,27,9-Jun,228,Kansas State,USA,Undrafted,Undrafted,Undrafted,19,4.8,4.3,0.9,1.6,5.4,14.2,9.4,56.7,5.9,6-9,81
Deandre Ayton,POR,25,Jul-00,247,Arizona,Bahamas,2018,1,1,21,12.5,10.5,1.5,-10.4,9.9,24.6,17,59.3,7.6,7-1,85
Dejounte Murray,ATL,27,5-Jun,180,Washington,USA,2016,1,29,25,20,4.4,5.5,-0.9,2,11,23.8,54.3,23,6-5,77
Delon Wright,WAS,31,5-Jun,185,Utah,USA,2015,1,20,8,5,2.5,4.4,3.3,2.2,11.8,12.1,54,28,6-5,77
Deni Avdija,WAS,22,9-Jun,210,None,Israel,2020,1,9,25,11.6,5.5,3.9,-9.6,4,15.7,17.1,58.9,19.2,6-9,81
Dennis Schroder,TOR,30,1-Jun,175,None,Germany,2013,1,17,25,15,2.9,6.8,-2.2,1.5,7.7,20.5,53.5,29.5,6-1,73
Dennis Smith Jr.,BKN,26,3-Jun,205,North Carolina State,USA,2017,1,9,13,6.7,3,3.5,4,4.5,11.6,17.8,50.5,27.1,6-3,75
Dereck Lively II,DAL,19,1-Jul,230,Duke,USA,2023,1,12,23,8.9,7.7,1.1,5.6,10.8,18.5,12,72.8,5.7,7-1,85
