,GP_isolation,POSS_isolation,FREQ%_isolation,PPP_isolation,PTS_isolation,FGM_isolation,FGA_isolation,FG%_isolation,EFG%_isolation,FT_isolation,TOV_isolation,SF_isolation,ANDÂ ONE_isolation,SCORE_isolation,PERCENTILE_isolation,LABEL,PLAYER,Constant
1,19.0,6.5,22.0,1.14,7.4,2.4,5.3,46.0,58.0,13.8,7.3,11.4,2.4,48,80.9,0,Luka Doncic,
2,19.0,5.2,20.8,1.15,6.0,2.2,4.5,48.2,57.6,10.1,7.1,10.1,3,48.5,83.6,0,Jayson Tatum,
3,19.0,4.9,19.3,1.22,5.9,1.9,3.9,48.6,53.4,21.5,3.2,17.2,4.3,55.9,89.1,0,Shai Gilgeous-Alexander,
4,18.0,5.6,20.2,0.9,5.1,1.8,4.4,40.5,42.4,13.9,10.9,12.9,3,42.6,52.7,0,Kevin Durant,
5,17.0,4.6,15.3,1.11,5.2,1.9,3.6,53.2,54.8,19,7.6,19,5.1,54.4,80.0,0,Joel Embiid,
6,17.0,4.9,22.3,0.9,4.4,1.6,3.6,45.2,45.2,21.7,9.6,19.3,6,47,53.6,0,Zion Williamson,
7,20.0,3.2,15.7,1.05,3.3,1.3,2.7,46.3,48.1,12.7,3.2,11.1,1.6,50.8,69.1,0,Kawhi Leonard,
8,20.0,3.4,15.2,0.96,3.3,1.0,2.8,36.4,41.8,14.7,7.4,11.8,2.9,41.2,60.0,0,Paul George,
9,21.0,3.4,16.3,0.86,3.0,1.0,2.2,46.8,46.8,20.8,18.1,20.8,4.2,45.8,45.5,0,Paolo Banchero,
10,13.0,4.0,14.7,1.17,4.7,1.6,3.2,51.2,58.5,25,7.7,21.2,11.5,51.9,86.4,0,De'Aaron Fox,
11,19.0,2.9,19.3,1.05,3.1,0.9,2.2,40.5,47.6,20,5.5,20,1.8,49.1,71.8,0,Spencer Dinwiddie,
12,18.0,3.4,14.4,0.95,3.2,0.8,2.4,34.9,40.7,23,8.2,18,1.6,44.3,59.1,0,Damian Lillard,
13,16.0,3.7,16.9,0.95,3.5,1.3,3.2,41.2,42.2,13.6,3.4,11.9,3.4,45.8,58.2,0,Kyrie Irving,
14,19.0,3.4,12.3,0.88,2.9,1.2,2.3,51.2,52.3,17.2,18.8,12.5,3.1,45.3,48.2,0,Giannis Antetokounmpo,
15,20.0,2.4,11.8,1.15,2.8,1.2,2.0,59.0,64.1,6.3,12.5,4.2,0,54.2,82.7,2,Dejounte Murray,
16,19.0,3.1,11.0,0.95,2.9,0.8,2.3,34.1,43.2,17.2,6.9,13.8,0,43.1,57.3,0,Trae Young,
17,18.0,3.7,14.5,0.82,3.1,1.2,3.1,38.2,42.7,7.5,10.4,7.5,0,38.8,40.0,0,Anthony Edwards,
18,11.0,5.2,22.0,0.95,4.9,1.7,4.5,38.0,41.0,12.3,0,12.3,0,45.6,56.4,0,Cam Thomas,
19,17.0,2.8,14.2,1.1,3.1,0.9,2.1,45.7,48.6,25,6.3,25,4.2,52.1,78.2,0,Jimmy Butler,
20,20.0,2.1,10.0,1.24,2.6,0.8,1.4,57.1,57.1,24.4,9.8,24.4,2.4,61,90.9,2,Jaren Jackson Jr.,
21,15.0,2.6,18.0,1.28,3.3,0.9,1.9,50.0,57.1,25.6,5.1,23.1,2.6,59,93.6,0,James Harden,
22,16.0,2.4,11.0,1.28,3.1,1.1,1.9,54.8,64.5,15.4,7.7,15.4,2.6,56.4,93.6,2,Tyrese Haliburton,
23,18.0,2.7,11.5,1.04,2.8,1.2,2.2,56.4,57.7,10.4,14.6,8.3,6.3,50,68.2,0,Brandon Ingram,
24,19.0,2.1,8.2,1.23,2.5,0.9,1.8,52.9,64.7,7.7,10.3,7.7,5.1,48.7,90.0,2,Stephen Curry,
25,20.0,2.9,12.5,0.84,2.4,0.9,2.4,37.5,41.7,8.8,8.8,8.8,1.8,38.6,44.5,0,LeBron James,
26,18.0,2.9,14.4,0.89,2.6,0.9,2.5,37.8,46.7,5.7,11.3,5.7,1.9,35.8,50.5,0,Zach LaVine,
27,20.0,2.7,12.6,0.89,2.4,0.8,2.1,38.1,38.1,17,7.5,17,3.8,43.4,50.5,0,DeMar DeRozan,
28,16.0,2.4,11.4,1.15,2.8,1.1,1.9,56.7,56.7,17.9,7.7,17.9,2.6,59,84.5,2,Bam Adebayo,
29,17.0,2.4,12.0,1.05,2.5,0.8,1.8,45.2,51.6,17.1,12.2,17.1,4.9,46.3,70.0,0,Jordan Clarkson,
30,20.0,2.2,10.8,0.98,2.2,0.8,1.7,48.5,48.5,15.9,11.4,15.9,2.3,50,62.7,0,Karl-Anthony Towns,
31,21.0,1.9,7.3,1.05,2.0,0.9,1.8,51.4,51.4,7.5,2.5,7.5,2.5,52.5,70.9,2,Nikola Jokic,
32,19.0,2.2,9.4,1.0,2.2,0.9,2.0,44.7,51.3,9.5,7.1,9.5,7.1,42.9,65.4,0,Tyrese Maxey,
33,19.0,3.1,14.1,0.72,2.2,0.8,2.5,34.0,34.0,12.1,10.3,6.9,3.4,36.2,25.5,0,Jerami Grant,
34,18.0,1.9,9.9,1.14,2.2,0.8,1.7,50.0,55.0,11.4,5.7,11.4,2.9,51.4,81.8,2,Jalen Green,
35,19.0,2.6,11.2,0.8,2.1,0.8,1.9,40.5,41.9,16,14,14,4,40,34.0,0,Julius Randle,
36,20.0,2.4,11.1,0.81,2.0,0.8,2.1,38.1,40.5,6.3,8.3,6.3,2.1,37.5,39.1,0,Mikal Bridges,
37,21.0,1.8,8.5,0.97,1.7,0.7,1.4,46.7,46.7,13.5,8.1,13.5,2.7,48.6,61.8,2,Pascal Siakam,
38,11.0,3.5,14.0,0.92,3.3,1.1,3.0,36.4,39.4,17.9,2.6,15.4,5.1,43.6,54.5,0,Devin Booker,
39,18.0,2.5,11.1,0.8,2.0,0.7,2.0,36.1,43.1,11.1,11.1,8.9,2.2,37.8,34.0,0,Jaylen Brown,
40,15.0,1.9,10.7,1.21,2.3,0.9,1.5,56.5,56.5,20.7,6.9,13.8,6.9,58.6,87.3,2,Malcolm Brogdon,
41,20.0,2.4,10.4,0.72,1.7,0.6,2.1,29.3,34.1,8.5,4.3,8.5,0,34,24.5,1,Kyle Kuzma,
42,16.0,1.9,7.3,1.06,2.1,0.8,1.7,44.4,51.9,9.7,3.2,9.7,0,48.4,73.6,2,Donovan Mitchell,
43,19.0,2.1,9.3,0.82,1.7,0.6,1.8,35.3,36.8,12.5,5,12.5,2.5,40,41.8,1,Jalen Brunson,
44,20.0,2.1,14.4,0.81,1.7,0.7,1.7,41.2,42.6,7.3,12.2,7.3,2.4,39,37.3,0,Russell Westbrook,
45,21.0,2.2,8.6,0.72,1.6,0.6,1.7,36.1,44.4,2.2,19.6,2.2,0,30.4,23.6,1,Cade Cunningham,
46,20.0,1.1,5.1,1.29,1.4,0.5,0.9,55.6,58.3,14.3,0,14.3,0,61.9,94.5,2,Anthony Davis,
47,10.0,2.8,12.2,0.96,2.7,1.0,2.5,40.0,44.0,10.7,3.6,10.7,3.6,42.9,60.9,0,Terry Rozier,
48,19.0,1.3,6.2,1.04,1.4,0.5,1.2,40.9,45.5,12,0,8,0,48,67.3,2,Victor Wembanyama,
49,21.0,1.0,5.9,1.25,1.2,0.5,0.8,58.8,70.6,5,10,0,0,55,91.8,2,D'Angelo Russell,
50,16.0,1.9,9.1,0.77,1.5,0.4,1.1,33.3,38.9,19.4,25.8,19.4,3.2,35.5,28.4,1,Darius Garland,
51,20.0,1.6,7.8,0.77,1.2,0.4,1.2,29.2,35.4,12.9,12.9,12.9,3.2,32.3,28.4,1,Shaedon Sharpe,
52,20.0,1.4,5.9,0.82,1.2,0.4,1.1,36.4,40.9,10.7,10.7,10.7,0,39.3,40.9,1,Desmond Bane,
53,17.0,1.2,7.2,1.1,1.3,0.5,1.0,52.9,58.8,5,10,5,0,50,77.1,2,Jalen Williams,
54,16.0,1.6,9.7,0.88,1.4,0.4,1.2,36.8,39.5,24,4,24,4,48,49.1,2,Caris LeVert,
55,20.0,1.4,8.5,0.79,1.1,0.4,1.1,38.1,40.5,10.7,17.9,10.7,3.6,35.7,30.3,1,Tobias Harris,
56,18.0,0.9,7.7,1.31,1.2,0.5,0.7,69.2,73.1,6.3,12.5,6.3,0,62.5,96.4,2,Bruce Brown,
57,9.0,2.0,11.2,1.17,2.3,0.7,1.6,42.9,46.4,27.8,5.6,27.8,11.1,50,85.5,2,Miles Bridges,
58,18.0,1.1,8.0,1.1,1.2,0.4,1.0,44.4,47.2,15.8,0,10.5,10.5,47.4,79.1,2,Bennedict Mathurin,
59,21.0,1.2,6.2,0.81,1.0,0.4,1.0,40.0,42.5,11.5,15.4,11.5,3.8,38.5,38.2,1,Franz Wagner,
60,16.0,1.3,10.3,1.0,1.3,0.6,1.2,47.4,52.6,0,5,0,0,45,65.4,2,Khris Middleton,
61,21.0,1.1,7.8,0.87,1.0,0.4,0.9,44.4,47.2,13,13,13,4.3,43.5,47.3,2,Austin Reaves,
62,15.0,1.8,7.1,0.74,1.3,0.5,1.5,30.4,34.8,7.4,7.4,3.7,0,33.3,26.4,1,LaMelo Ball,
63,19.0,1.2,8.3,0.83,1.0,0.4,0.8,43.8,50.0,8.7,21.7,8.7,0,39.1,42.7,1,Immanuel Quickley,
64,21.0,1.3,7.9,0.67,0.9,0.3,1.1,29.2,29.2,11.1,3.7,11.1,3.7,33.3,18.2,1,Dennis Schroder,
65,22.0,1.4,10.3,0.6,0.8,0.3,1.2,26.9,28.8,10,3.3,10,0,33.3,12.8,1,Reggie Jackson,
66,18.0,0.6,3.6,1.7,0.9,0.4,0.4,87.5,106.3,0,20,0,0,70,100.0,2,Tim Hardaway Jr.,
67,17.0,0.6,5.8,1.54,1.0,0.2,0.4,57.1,57.1,54.5,0,45.5,18.2,72.7,99.1,2,Jaden Ivey,
68,20.0,0.7,4.6,1.21,0.9,0.3,0.5,66.7,66.7,21.4,21.4,14.3,7.1,57.1,88.2,2,Chet Holmgren,
69,18.0,0.9,4.3,1.06,0.9,0.4,0.7,53.8,53.8,12.5,6.3,6.3,0,56.3,72.7,2,Alperen Sengun,
70,17.0,1.1,7.9,0.9,1.0,0.4,0.9,46.7,46.7,21.1,5.3,21.1,5.3,47.4,51.8,2,Jrue Holiday,
71,20.0,1.0,7.4,0.8,0.8,0.4,0.9,38.9,44.4,0,10,0,0,35,34.0,1,De'Andre Hunter,
72,17.0,0.6,5.0,1.36,0.9,0.2,0.5,44.4,66.7,18.2,0,18.2,0,54.5,97.3,2,Lonnie Walker IV,
73,21.0,0.9,5.6,0.83,0.7,0.2,0.6,41.7,41.7,27.8,5.6,27.8,0,50,43.6,2,Evan Mobley,
74,21.0,0.9,5.9,0.79,0.7,0.3,0.7,40.0,40.0,10.5,15.8,5.3,5.3,36.8,31.8,1,Cole Anthony,
75,19.0,1.1,11.7,0.71,0.8,0.3,1.1,30.0,32.5,4.8,0,4.8,0,33.3,21.3,1,Chris Paul,
76,18.0,1.3,9.5,0.63,0.8,0.2,0.7,33.3,37.5,29.2,20.8,29.2,0,33.3,15.5,1,Aaron Gordon,
77,19.0,1.4,7.0,0.58,0.8,0.3,0.9,33.3,38.9,3.8,30.8,3.8,3.8,23.1,10.9,1,Jordan Poole,
78,21.0,1.5,7.6,0.48,0.7,0.3,1.0,27.3,27.3,6.5,22.6,3.2,0,25.8,8.2,1,Scottie Barnes,
79,20.0,0.5,3.3,1.4,0.7,0.3,0.4,75.0,75.0,20,10,20,10,70,98.2,2,Zach Collins,
80,20.0,0.7,5.2,1.08,0.7,0.3,0.5,60.0,65.0,7.7,15.4,0,0,53.8,74.5,2,Jalen Suggs,
81,12.0,1.2,10.9,1.0,1.2,0.3,0.9,36.4,36.4,21.4,0,14.3,0,50,65.4,2,Rui Hachimura,
82,15.0,1.0,4.9,0.93,0.9,0.3,0.9,30.8,42.3,13.3,0,13.3,0,40,55.5,1,Lauri Markkanen,
83,18.0,0.6,3.1,1.3,0.7,0.3,0.4,75.0,75.0,20,10,20,10,70,95.5,2,Domantas Sabonis,
84,20.0,0.6,5.8,1.08,0.7,0.3,0.5,50.0,55.0,8.3,8.3,0,0,50,75.5,2,Killian Hayes,
85,21.0,0.6,5.4,1.0,0.6,0.2,0.5,50.0,50.0,15.4,7.7,15.4,0,53.8,65.4,2,Jaime Jaquez Jr.,
86,18.0,0.8,5.8,0.87,0.7,0.2,0.6,30.0,40.0,20,20,20,6.7,33.3,46.4,1,Malik Monk,
87,17.0,1.0,6.0,0.77,0.8,0.2,0.7,25.0,29.2,23.5,11.8,23.5,5.9,35.3,27.3,1,Fred VanVleet,
88,21.0,1.0,8.6,0.62,0.6,0.2,0.9,26.3,26.3,9.5,0,9.5,0,33.3,14.5,1,Talen Horton-Tucker,
89,15.0,0.7,4.2,1.1,0.7,0.3,0.6,44.4,50.0,10,0,10,0,50,77.1,2,Devin Vassell,
90,19.0,0.7,5.0,0.79,0.6,0.2,0.7,30.8,34.6,7.1,0,7.1,0,35.7,30.3,1,Andrew Wiggins,
91,17.0,0.9,13.0,0.69,0.6,0.2,0.6,27.3,31.8,18.8,18.8,18.8,6.3,31.3,19.1,1,Jaden Hardy,
92,20.0,0.7,8.4,0.71,0.5,0.3,0.7,38.5,38.5,0,7.1,0,0,35.7,21.3,1,Kyle Anderson,
93,22.0,0.6,4.2,0.71,0.5,0.1,0.5,27.3,31.8,14.3,7.1,14.3,0,35.7,21.3,1,Coby White,
94,9.0,1.4,8.4,0.69,1.0,0.4,1.3,33.3,37.5,0,7.7,0,0,30.8,20.0,1,Jamal Murray,
95,20.0,0.7,5.2,0.64,0.5,0.2,0.7,23.1,26.9,7.1,0,7.1,0,28.6,17.3,1,Jeremy Sochan,
96,8.0,1.3,6.2,0.8,1.0,0.3,1.0,25.0,25.0,20,0,10,0,40,34.0,1,CJ McCollum,
97,20.0,0.5,3.8,0.8,0.4,0.2,0.4,42.9,50.0,10,20,10,0,40,34.0,1,De'Anthony Melton,
98,18.0,0.6,5.3,0.64,0.4,0.2,0.6,27.3,31.8,0,0,0,0,27.3,16.4,1,Gary Trent Jr.,
99,12.0,1.0,10.7,0.58,0.6,0.1,0.8,11.1,16.7,16.7,8.3,16.7,0,25,11.8,1,Bones Hyland,
100,21.0,1.0,8.3,0.32,0.3,0.1,0.8,12.5,12.5,9.1,18.2,4.5,0,18.2,2.7,1,Collin Sexton,
101,18.0,0.6,3.5,0.6,0.3,0.2,0.6,30.0,30.0,0,0,0,0,30,12.8,1,Gordon Hayward,
102,13.0,0.9,12.4,0.5,0.5,0.2,0.8,18.2,18.2,8.3,0,0,0,25,9.2,1,Dennis Smith Jr.,
103,21.0,0.5,6.2,0.5,0.2,0.1,0.4,22.2,27.8,0,10,0,0,20,9.2,1,Marcus Sasser,
104,11.0,1.0,7.1,0.46,0.5,0.2,0.6,28.6,35.7,0,36.4,0,0,18.2,7.3,1,Scoot Henderson,
105,18.0,0.7,10.5,0.39,0.3,0.1,0.6,20.0,20.0,7.7,15.4,7.7,0,23.1,5.5,1,Danilo Gallinari,
106,20.0,0.7,4.7,0.36,0.3,0.1,0.5,20.0,20.0,7.1,21.4,7.1,0,21.4,3.6,1,Josh Giddey,
107,22.0,0.5,5.3,0.4,0.2,0.1,0.4,22.2,22.2,0,10,0,0,20,6.4,1,Christian Braun,
108,21.0,0.5,3.8,0.36,0.2,0.1,0.5,20.0,20.0,0,9.1,0,0,18.2,4.5,1,John Collins,
109,11.0,0.9,7.7,0.3,0.3,0.1,0.6,14.3,14.3,10,20,10,0,20,0.9,1,Caleb Martin,
110,20.0,0.5,4.4,0.3,0.2,0.1,0.4,12.5,12.5,10,10,10,0,20,0.9,1,Deni Avdija,
111,14.0,0.8,4.1,0.0,0.0,0.0,0.7,0.0,0.0,0,9.1,0,0,0,0.0,1,RJ Barrett,
