,GP_spot_up,POSS_spot_up,FREQ%_spot_up,PPP_spot_up,PTS_spot_up,FGM_spot_up,FGA_spot_up,FG%_spot_up,EFG%_spot_up,FT_spot_up,TOV_spot_up,SF_spot_up,ANDÂ ONE_spot_up,SCORE_spot_up,PERCENTILE_spot_up,LABEL,PLAYER,Constant
149,19.0,2.8,11.0,1.0,2.8,1.1,2.4,45.7,48.9,7.5,5.7,5.7,0,47.2,43.9,0,Shai Gilgeous-Alexander,
150,18.0,3.1,33.1,0.96,2.9,1.1,2.9,35.8,50.0,0,3.6,0,0,34.5,37.3,1,Ziaire Williams,
151,21.0,2.8,10.6,0.91,2.5,1.0,2.5,37.7,47.2,3.4,6.9,3.4,1.7,36.2,30.4,1,Nikola Jokic,
152,21.0,1.7,34.6,1.44,2.5,0.9,1.6,52.9,73.5,2.8,2.8,2.8,0,52.8,96.4,0,Joe Ingles,
153,19.0,2.1,22.2,1.3,2.7,0.9,1.9,48.6,68.9,2.5,7.5,2.5,2.5,45,89.8,0,Chris Paul,
154,11.0,3.7,45.6,1.27,4.7,1.9,3.5,55.3,67.1,4.9,7.3,4.9,4.9,51.2,85.8,0,Jaden McDaniels,
155,17.0,2.6,8.7,1.16,3.1,1.1,2.1,51.4,61.4,11.1,11.1,8.9,0,51.1,70.6,0,Joel Embiid,
156,21.0,3.2,41.1,0.78,2.5,0.9,2.5,34.0,44.3,6,16.4,6,1.5,31.3,14.9,1,Christian Wood,
157,18.0,2.8,13.8,1.0,2.8,1.1,2.4,43.2,53.4,3.9,9.8,3.9,0,41.2,43.9,1,Zach LaVine,
158,22.0,2.5,42.0,0.93,2.3,0.9,2.4,35.8,48.1,1.8,3.6,1.8,1.8,34.5,31.0,1,Jevon Carter,
159,16.0,2.8,12.4,1.14,3.1,1.1,2.5,45.0,56.3,9.1,2.3,4.5,2.3,47.7,66.3,0,Tyrese Haliburton,
160,15.0,3.1,55.3,1.06,3.3,1.0,2.6,38.5,56.4,8.5,8.5,8.5,0,40.4,54.8,0,Yuta Watanabe,
161,21.0,2.2,28.6,1.06,2.3,0.9,2.1,42.2,53.3,2.2,2.2,2.2,2.2,41.3,55.1,1,Marcus Sasser,
162,19.0,2.9,10.8,0.88,2.6,0.9,2.3,41.9,46.5,16.1,10.7,14.3,3.6,41.1,26.2,1,Giannis Antetokounmpo,
163,17.0,2.4,33.9,1.17,2.8,1.0,2.4,42.5,60.0,0,2.4,0,0,41.5,73.9,0,Al Horford,
164,19.0,2.2,7.5,1.14,2.5,0.8,1.9,43.2,54.1,14.3,2.4,14.3,4.8,47.6,67.3,0,Luka Doncic,
165,15.0,2.9,42.3,1.09,3.2,1.0,2.7,36.6,53.7,4.5,2.3,4.5,0,38.6,61.3,0,Haywood Highsmith,
166,21.0,2.7,19.0,0.86,2.3,0.8,2.4,31.4,41.2,5.4,3.6,5.4,0,33.9,21.7,1,Austin Reaves,
167,20.0,3.2,21.1,0.76,2.4,0.9,2.9,29.8,40.4,3.2,6.3,3.2,0,30.2,13.5,1,Josh Giddey,
168,8.0,4.9,24.2,1.21,5.9,2.1,4.6,45.9,59.5,7.7,0,7.7,2.6,48.7,78.2,0,CJ McCollum,
169,18.0,2.2,36.7,1.18,2.6,0.9,2.1,42.1,61.8,0,5,0,0,40,75.5,0,Pat Connaughton,
170,11.0,4.1,34.6,1.04,4.3,1.6,3.9,41.9,53.5,2.2,2.2,2.2,0,42.2,52.1,0,Caleb Martin,
171,17.0,2.8,39.3,0.98,2.8,0.9,2.6,34.1,46.6,8.3,2.1,8.3,2.1,37.5,39.6,1,Cam Reddish,
172,9.0,4.8,26.7,1.07,5.1,1.7,3.9,42.9,55.7,9.3,9.3,7,0,44.2,56.1,0,Miles Bridges,
173,18.0,2.4,11.9,1.04,2.6,1.0,1.9,51.4,58.6,11.4,9.1,11.4,0,50,52.5,0,Alperen Sengun,
174,17.0,2.8,16.9,0.96,2.7,0.9,2.8,33.3,47.9,0,0,0,0,33.3,37.0,1,Fred VanVleet,
175,20.0,2.7,18.9,0.85,2.3,0.9,2.6,32.7,43.3,1.9,1.9,1.9,0,33.3,20.8,1,Russell Westbrook,
176,18.0,2.2,9.2,1.15,2.5,0.8,1.9,41.2,54.4,10.3,2.6,5.1,0,46.2,70.2,0,Damian Lillard,
177,16.0,2.6,53.2,1.1,2.8,0.9,2.1,41.2,57.4,7.3,9.8,4.9,0,41.5,63.0,0,Troy Brown Jr.,
178,20.0,3.2,40.9,0.71,2.3,0.8,2.9,25.9,33.6,9.5,1.6,7.9,3.2,30.2,8.6,1,Toumani Camara,
179,17.0,2.4,20.0,1.07,2.6,1.0,2.3,43.6,56.4,2.4,4.9,2.4,2.4,41.5,57.1,0,Kevin Huerter,
180,17.0,2.6,45.9,0.98,2.6,0.8,2.4,34.1,42.7,13.3,0,11.1,4.4,40,39.3,1,Keita Bates-Diop,
181,20.0,3.0,32.8,0.73,2.2,0.9,2.8,30.4,38.4,1.7,6.7,1.7,1.7,28.3,10.6,1,Malaki Branham,
182,21.0,3.3,26.3,0.64,2.1,0.9,2.9,29.5,33.6,5.8,7.2,4.3,1.4,30.4,5.0,1,Ausar Thompson,
183,19.0,3.7,17.6,0.62,2.3,0.8,3.2,25.0,31.7,7,11.3,7,2.8,25.4,3.6,1,Victor Wembanyama,
184,15.0,2.3,30.4,1.26,2.9,1.1,2.1,50.0,64.1,5.9,2.9,5.9,2.9,50,85.5,0,Landry Shamet,
185,19.0,1.8,25.4,1.23,2.3,0.8,1.3,60.0,74.0,11.4,17.1,11.4,0,51.4,82.2,0,Kelly Olynyk,
186,19.0,2.0,8.0,1.13,2.3,0.8,1.9,41.7,59.7,0,5.3,0,0,39.5,65.7,1,Stephen Curry,
187,20.0,2.8,36.1,0.77,2.2,0.7,2.3,31.1,40.0,8.9,12.5,7.1,1.8,32.1,13.9,1,Jabari Walker,
188,18.0,3.1,19.4,0.77,2.4,0.7,2.4,30.2,36.0,19.6,10.7,17.9,7.1,33.9,13.9,1,Gordon Hayward,
189,16.0,3.3,12.6,0.79,2.6,1.1,3.3,32.7,38.5,1.9,0,1.9,0,34,15.5,1,Donovan Mitchell,
190,15.0,2.5,33.6,1.08,2.7,0.9,2.5,35.1,51.4,5.3,0,5.3,2.6,36.8,58.7,1,Kevin Love,
191,20.0,2.4,22.6,0.87,2.1,0.7,2.3,31.1,41.1,4.3,0,4.3,0,34,25.1,1,Tyus Jones,
192,17.0,2.9,26.3,0.82,2.4,0.9,2.5,37.2,47.7,2,14,2,2,32,17.2,1,Jaden Ivey,
193,9.0,3.1,50.0,1.43,4.4,1.4,2.9,50.0,71.2,7.1,0,7.1,0,53.6,96.0,0,Jae Crowder,
194,16.0,1.9,33.7,1.29,2.5,0.9,1.9,46.7,61.7,3.2,0,3.2,0,48.4,88.4,0,Max Christie,
195,19.0,2.4,8.6,0.89,2.1,0.6,2.1,30.0,40.0,8.9,2.2,8.9,0,35.6,28.1,1,Trae Young,
196,21.0,1.5,12.1,1.26,1.9,0.6,1.4,44.8,62.1,6.5,0,6.5,0,48.4,84.8,0,Jonas Valanciunas,
197,15.0,1.9,46.0,1.31,2.5,0.8,1.7,46.2,65.4,6.9,3.4,6.9,0,48.3,91.1,0,Stanley Umude,
198,14.0,2.1,23.2,1.31,2.7,1.0,2.0,50.0,67.9,0,3.4,0,0,48.3,91.1,0,Skylar Mays,
199,19.0,1.7,29.2,1.15,2.0,0.7,1.6,45.2,61.3,3,6.1,3,3,42.4,69.3,0,Chris Boucher,
200,21.0,1.8,32.5,1.0,1.8,0.6,1.6,35.3,51.5,5.3,5.3,5.3,0,36.8,43.9,1,Malachi Flynn,
201,17.0,2.4,32.5,0.95,2.2,0.7,2.1,33.3,44.4,15,0,12.5,5,37.5,34.1,1,Jaden Hardy,
202,20.0,2.6,38.1,0.74,1.9,0.6,2.1,26.8,32.9,11.8,9.8,11.8,2,31.4,11.2,1,Shake Milton,
203,18.0,1.9,10.8,1.06,2.1,0.7,1.7,41.9,50.0,22.9,0,22.9,11.4,42.9,53.5,0,Domantas Sabonis,
204,18.0,2.1,36.9,0.97,2.1,0.7,1.9,35.3,51.5,2.6,7.9,2.6,0,34.2,38.6,1,Doug McDermott,
205,16.0,2.7,38.4,0.86,2.3,0.8,2.4,31.6,47.4,2.3,9.3,2.3,0,30.2,23.8,1,Gary Harris,
206,20.0,2.5,16.3,0.76,1.9,0.6,2.1,28.6,41.7,2,12.2,2,0,26.5,12.9,1,Zach Collins,
207,15.0,1.9,53.8,1.29,2.4,0.8,1.8,44.4,66.7,0,3.6,0,0,42.9,87.3,0,Jacob Gilyard,
208,14.0,2.0,52.8,1.29,2.6,0.9,2.0,42.9,64.3,0,0,0,0,42.9,87.3,0,Dean Wade,
209,17.0,1.6,31.8,1.29,2.1,0.6,1.5,44.0,56.0,21.4,0,21.4,10.7,50,87.3,0,Jeff Green,
210,17.0,2.2,56.7,0.95,2.1,0.8,2.2,35.1,48.6,0,2.6,0,0,34.2,33.7,1,JT Thor,
211,15.0,2.9,49.4,0.84,2.4,0.8,2.6,30.8,44.9,2.3,7,2.3,0,30.2,18.8,1,Sasha Vezenkov,
212,11.0,1.9,38.2,1.67,3.2,1.1,1.9,57.1,83.3,0,0,0,0,57.1,99.7,0,Nicolas Batum,
213,14.0,2.1,49.2,1.17,2.5,0.8,1.8,44.0,64.0,6.7,10,6.7,0,43.3,72.1,0,Bryce McGowens,
214,17.0,2.1,40.7,1.0,2.1,0.7,2.1,34.3,50.0,0,0,0,0,34.3,43.9,1,Jae'Sean Tate,
215,15.0,2.6,47.6,0.9,2.3,0.7,2.1,32.3,46.8,7.7,12.8,2.6,0,33.3,28.4,1,Gradey Dick,
216,20.0,2.0,38.2,0.87,1.7,0.7,1.9,34.2,43.4,2.6,2.6,2.6,2.6,33.3,24.8,1,Patrick Beverley,
217,15.0,1.9,40.0,1.18,2.2,0.8,1.8,44.4,59.3,3.6,0,3.6,0,46.4,76.2,0,Jaylin Williams,
218,16.0,2.1,38.4,1.0,2.1,0.7,1.8,39.3,55.4,3,12.1,3,0,36.4,43.9,1,MarJon Beauchamp,
219,9.0,2.9,21.3,1.23,3.6,1.2,2.6,47.8,60.9,15.4,3.8,15.4,7.7,50,83.1,0,Kelly Oubre Jr.,
220,17.0,1.8,19.4,1.07,1.9,0.6,1.7,37.9,51.7,3.3,0,3.3,0,40,55.6,1,Tre Jones,
221,13.0,3.1,44.4,0.8,2.5,0.8,2.7,28.6,40.0,7.5,7.5,7.5,2.5,30,15.8,1,Julian Champagnie,
222,12.0,1.8,51.2,1.48,2.6,0.9,1.7,55.0,77.5,0,4.8,0,0,52.4,96.7,0,Justin Holiday,
223,12.0,2.5,36.1,1.03,2.6,1.0,2.4,41.4,53.4,0,3.3,0,0,40,50.3,1,Isaac Okoro,
224,14.0,2.4,47.8,0.91,2.1,0.8,2.4,33.3,45.5,0,0,0,0,33.3,29.7,1,Nassir Little,
225,20.0,1.8,36.1,0.86,1.5,0.7,1.6,41.9,48.4,0,11.4,0,0,37.1,21.7,1,Peyton Watson,
226,22.0,2.1,12.4,0.64,1.4,0.5,2.0,27.3,33.0,2.1,6.4,2.1,2.1,25.5,5.3,1,Nikola Vucevic,
227,19.0,1.6,31.3,0.94,1.5,0.5,1.6,32.3,46.8,0,0,0,0,32.3,33.0,1,Julian Strawther,
228,10.0,3.2,34.0,0.91,2.9,1.1,2.9,37.9,50.0,3.1,6.3,3.1,0,34.4,29.4,1,Xavier Tillman,
229,18.0,1.8,26.6,0.88,1.6,0.6,1.7,35.5,43.5,6.1,3,6.1,3,36.4,27.1,1,Danilo Gallinari,
230,19.0,1.9,36.4,0.81,1.5,0.6,1.7,34.4,45.3,0,11.1,0,0,30.6,16.2,1,Anthony Black,
231,18.0,1.3,32.9,1.17,1.6,0.6,1.2,52.4,66.7,0,12.5,0,0,45.8,72.1,0,Aaron Wiggins,
232,13.0,2.2,32.6,0.97,2.2,0.7,1.9,36.0,46.0,10.3,6.9,10.3,3.4,37.9,38.0,1,Trendon Watford,
233,15.0,2.2,25.0,0.85,1.9,0.7,2.1,32.3,45.2,0,6.1,0,0,30.3,20.2,1,Andrew Wiggins,
234,17.0,2.0,40.0,0.82,1.6,0.5,1.8,29.0,38.7,5.9,2.9,5.9,0,32.4,17.5,1,Robert Covington,
235,17.0,2.0,38.6,0.82,1.6,0.6,1.8,33.3,41.7,5.9,8.8,5.9,2.9,32.4,17.5,1,Chris Duarte,
236,6.0,3.5,43.8,1.29,4.5,1.7,3.3,50.0,67.5,0,4.8,0,0,47.6,87.3,0,Kevin Knox II,
237,12.0,1.8,19.6,1.23,2.3,0.8,1.7,45.0,67.5,0,9.1,0,0,40.9,81.8,0,Bones Hyland,
238,12.0,2.2,29.5,1.04,2.3,0.7,2.2,34.6,51.9,0,0,0,0,34.6,51.3,1,Duop Reath,
239,11.0,2.5,10.0,0.96,2.5,1.0,2.5,39.3,48.2,0,0,0,0,39.3,37.6,1,Devin Booker,
240,16.0,1.8,8.5,0.93,1.7,0.6,1.5,41.7,52.1,3.4,13.8,3.4,0,37.9,31.7,1,Darius Garland,
241,14.0,2.1,36.1,0.9,1.9,0.6,2.0,32.1,48.2,0,6.7,0,0,30,28.8,1,Gary Payton II,
242,15.0,2.1,29.6,0.84,1.8,0.7,1.8,37.0,50.0,3.1,12.5,3.1,0,31.3,19.8,1,Brandin Podziemski,
243,8.0,1.9,44.1,1.73,3.3,1.1,1.6,69.2,92.3,6.7,6.7,6.7,0,66.7,100.0,0,Jeremiah Robinson-Earl,
244,17.0,1.5,7.0,1.0,1.5,0.6,1.1,55.6,61.1,15.4,19.2,15.4,3.8,50,43.9,0,Zion Williamson,
245,20.0,1.6,18.7,0.84,1.3,0.6,1.3,42.3,46.2,6.5,12.9,6.5,3.2,38.7,19.5,1,Kyle Anderson,
246,13.0,1.4,29.5,1.39,1.9,0.7,1.4,50.0,69.4,0,0,0,0,50,94.4,0,Marcus Morris Sr.,
247,16.0,1.7,13.9,0.93,1.6,0.5,1.6,32.0,46.0,3.7,3.7,3.7,0,33.3,30.7,1,Khris Middleton,
248,11.0,2.0,19.6,1.09,2.2,0.8,2.0,40.9,54.5,0,0,0,0,40.9,61.3,1,Derrick Rose,
249,20.0,1.7,12.7,0.73,1.2,0.4,1.7,24.2,36.4,0,0,0,0,24.2,9.9,1,Jusuf Nurkic,
250,14.0,2.5,41.2,0.69,1.7,0.5,2.0,25.0,35.7,5.7,14.3,2.9,0,25.7,6.9,1,Davion Mitchell,
251,15.0,2.4,37.9,0.67,1.6,0.5,2.2,24.2,36.4,2.8,8.3,2.8,2.8,22.2,6.0,1,Jonathan Isaac,
252,13.0,2.8,42.5,0.62,1.8,0.6,2.5,25.0,29.7,5.4,8.1,5.4,0,27,4.0,1,Theo Maledon,
253,16.0,1.4,6.4,1.0,1.4,0.6,1.3,50.0,50.0,9.1,4.5,9.1,4.5,50,43.9,1,Bam Adebayo,
254,8.0,3.6,50.0,0.76,2.8,0.9,2.9,30.4,43.5,3.4,17.2,3.4,0,27.6,13.2,1,Isaiah Livers,
255,21.0,1.5,9.6,0.71,1.0,0.4,1.2,36.0,40.0,3.2,16.1,0,0,32.3,8.3,1,Evan Mobley,
256,10.0,1.3,48.1,1.61,2.1,0.7,1.3,53.8,76.9,7.7,0,7.7,7.7,53.8,99.3,0,Otto Porter Jr.,
257,14.0,1.1,15.7,1.31,1.5,0.5,1.0,50.0,67.9,6.3,6.3,6.3,0,50,91.4,0,Jalen Smith,
258,7.0,3.0,36.8,1.0,3.0,1.0,2.4,41.2,55.9,4.8,14.3,4.8,0,38.1,43.9,1,Jose Alvarado,
259,18.0,1.2,8.7,0.95,1.2,0.5,1.2,42.9,50.0,0,4.5,0,0,40.9,35.6,1,Aaron Gordon,
260,11.0,2.4,32.9,0.81,1.9,0.7,2.0,36.4,47.7,0,15.4,0,0,30.8,16.8,1,Tari Eason,
261,17.0,1.7,34.9,0.72,1.2,0.5,1.6,32.1,37.5,3.4,3.4,3.4,3.4,31,9.6,1,Dante Exum,
262,12.0,1.7,42.6,1.0,1.7,0.5,1.5,33.3,50.0,5,5,5,0,35,43.9,1,Vince Williams Jr.,
263,8.0,2.6,11.6,0.95,2.5,0.9,2.4,36.8,47.4,4.8,4.8,4.8,0,38.1,35.1,1,Tyler Herro,
264,10.0,2.0,40.0,0.95,1.9,0.6,1.8,33.3,50.0,5,5,5,0,35,34.1,1,Kenrich Williams,
265,13.0,2.1,27.8,0.7,1.5,0.5,1.8,29.2,37.5,7.4,7.4,7.4,3.7,29.6,7.9,1,Dennis Smith Jr.,
266,8.0,2.1,26.2,1.06,2.3,0.6,2.0,31.3,46.9,5.9,0,5.9,0,35.3,53.8,1,Luke Kennard,
267,16.0,1.3,29.6,0.86,1.1,0.3,1.2,26.3,39.5,4.8,4.8,4.8,0,28.6,21.7,1,Seth Curry,
268,10.0,2.1,9.1,0.86,1.8,0.6,1.9,31.6,39.5,4.8,4.8,4.8,0,33.3,21.7,1,Terry Rozier,
269,15.0,1.7,18.8,0.72,1.2,0.4,1.5,27.3,36.4,4,8,4,0,28,8.9,1,Precious Achiuwa,
270,14.0,1.9,36.1,0.69,1.3,0.6,1.5,38.1,42.9,0,19.2,0,0,30.8,7.3,1,Kris Dunn,
271,10.0,1.6,35.6,1.06,1.7,0.5,1.4,35.7,50.0,12.5,0,12.5,0,43.8,54.5,1,Danuel House Jr.,
272,14.0,3.1,44.9,0.39,1.2,0.4,2.6,16.2,18.9,6.8,9.1,6.8,0,20.5,0.3,1,Terance Mann,
273,8.0,1.6,31.7,1.23,2.0,0.6,1.5,41.7,58.3,7.7,0,7.7,0,46.2,83.1,0,Delon Wright,
274,18.0,0.8,6.6,1.07,0.9,0.4,0.8,53.3,53.3,0,0,0,0,53.3,55.6,1,Deandre Ayton,
275,20.0,1.1,14.8,0.73,0.8,0.3,1.0,30.0,40.0,0,9.1,0,0,27.3,9.9,1,Onyeka Okongwu,
276,9.0,1.1,25.6,1.5,1.7,0.6,1.0,55.6,83.3,0,10,0,0,50,98.0,0,Dru Smith,
277,5.0,4.0,44.4,0.75,3.0,1.0,3.0,33.3,50.0,5,20,0,0,25,11.7,1,Trey Lyles,
278,12.0,1.8,52.4,0.68,1.3,0.4,1.8,23.8,35.7,0,4.5,0,0,22.7,6.6,1,Ousmane Dieng,
279,3.0,4.3,20.6,1.08,4.7,1.7,4.0,41.7,54.2,7.7,0,7.7,0,46.2,58.1,0,Bradley Beal,
280,13.0,1.2,16.7,0.93,1.1,0.4,0.8,50.0,50.0,13.3,20,13.3,0,46.7,32.1,1,Craig Porter Jr.,
281,9.0,1.8,10.4,0.88,1.6,0.6,1.8,31.3,43.8,0,0,0,0,31.3,26.2,1,Jamal Murray,
282,16.0,1.4,37.3,0.64,0.9,0.3,1.3,23.8,33.3,0,4.5,0,0,22.7,4.3,1,John Konchar,
283,11.0,1.0,40.7,1.09,1.1,0.4,1.0,36.4,54.5,0,0,0,0,36.4,61.3,1,Kris Murray,
284,19.0,0.7,8.3,0.86,0.6,0.2,0.6,27.3,31.8,21.4,7.1,21.4,7.1,35.7,21.7,1,Marvin Bagley III,
285,20.0,1.0,4.9,0.6,0.6,0.2,0.9,23.5,29.4,10,5,5,0,30,2.3,1,Anthony Davis,
286,11.0,1.4,28.3,0.73,1.0,0.4,1.4,26.7,36.7,0,0,0,0,26.7,10.6,1,Jaden Springer,
287,11.0,2.7,19.2,0.37,1.0,0.4,2.5,14.8,20.4,0,10,0,0,13.3,0.0,1,Scoot Henderson,
288,10.0,1.0,38.5,1.0,1.0,0.3,0.9,33.3,50.0,10,0,10,0,40,43.9,1,Wesley Matthews,
289,19.0,0.7,10.9,0.77,0.5,0.2,0.6,33.3,41.7,0,7.7,0,0,30.8,14.5,1,Drew Eubanks,
290,11.0,1.4,37.5,0.67,0.9,0.3,1.1,25.0,33.3,13.3,6.7,6.7,0,26.7,6.0,1,Keon Ellis,
291,10.0,1.8,54.5,0.56,1.0,0.4,1.6,25.0,31.3,0,11.1,0,0,22.2,2.0,1,Cory Joseph,
292,5.0,2.0,23.8,0.9,1.8,0.6,1.6,37.5,43.8,20,10,20,10,40,28.8,1,Jordan Nwora,
293,12.0,1.0,70.6,0.75,0.8,0.3,0.8,30.0,45.0,0,16.7,0,0,25,11.7,1,P.J. Tucker,
294,8.0,1.5,32.4,0.75,1.1,0.4,0.9,42.9,64.3,0,41.7,0,0,25,11.7,1,Vasilije Micic,
295,5.0,2.4,19.7,0.75,1.8,0.6,2.2,27.3,40.9,0,8.3,0,0,25,11.7,1,Wendell Carter Jr.,
296,4.0,3.3,41.9,0.69,2.3,1.0,3.0,33.3,37.5,0,7.7,0,0,30.8,7.3,1,Gabe Vincent,
297,7.0,2.1,53.6,0.6,1.3,0.4,1.9,23.1,34.6,0,13.3,0,0,20,2.3,1,Joe Harris,
298,13.0,0.8,21.2,0.64,0.5,0.2,0.6,37.5,43.8,0,27.3,0,0,27.3,4.3,1,Ish Smith,
299,15.0,0.7,13.3,0.6,0.4,0.1,0.7,20.0,30.0,0,0,0,0,20,2.3,1,Omer Yurtseven,
300,14.0,0.7,5.8,0.6,0.4,0.2,0.6,33.3,33.3,0,10,0,0,30,2.3,1,Jalen Duren,
301,5.0,2.2,17.2,0.55,1.2,0.4,2.0,20.0,20.0,9.1,0,9.1,0,27.3,1.3,1,Markelle Fultz,
302,14.0,0.8,8.9,0.55,0.4,0.1,0.7,20.0,30.0,0,9.1,0,0,18.2,1.3,1,Walker Kessler,
303,5.0,2.4,52.2,0.42,1.0,0.4,2.2,18.2,22.7,0,8.3,0,0,16.7,0.7,1,Jake LaRavia,
304,11.0,1.1,23.5,0.42,0.5,0.2,1.0,18.2,22.7,0,8.3,0,0,16.7,0.7,1,Kira Lewis Jr.,
