LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
N. Batum - T. Harris - J. Embiid - D. Melton - T. Maxey,PHI,14,219,135.2,101.3,34,65.8,3.22,21.6,31.8,76.9,56.6,0.1,62.3,67.2,103.73,65.7
M. Turner - B. Hield - B. Brown - O. Toppin - T. Haliburton,IND,17,171,134,114.1,19.9,71.1,3.21,24.3,27.5,79.3,54.5,0.1,64.3,67,106.04,57.9
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,DEN,19,403,130,110.3,19.7,63.1,3.02,21.7,32.1,73.6,53.9,0.1,60.7,63.6,97.46,59.7
J. Harden - P. George - K. Leonard - I. Zubac - T. Mann,LAC,21,302,124.8,108.1,16.7,62.2,2.47,20.6,29.2,73.4,53.3,0.1,60.8,63.5,96.39,58.9
B. Lopez - D. Lillard - K. Middleton - G. Antetokounmpo - M. Beasley,MIL,27,378,124.3,111.6,12.8,61.8,2.58,20.7,23,72.9,50.7,0.1,61.9,64.5,104.25,56.9
D. Mitchell - J. Allen - M. Strus - D. Wade - I. Okoro,CLE,10,106,123.4,121.1,2.3,69.6,2.73,21.3,37,73,54.3,0.1,58.1,61.3,101.13,52.4
K. Durant - E. Gordon - J. Nurkic - D. Booker - G. Allen,PHX,12,137,122.6,99.6,23,70.8,2.31,23.5,24.8,73.7,53.2,0.1,63.6,65.9,99.55,62.7
H. Barnes - D. Sabonis - D. Fox - K. Huerter - K. Murray,SAC,19,291,121.8,109.6,12.2,64.5,3.56,21.3,20.5,75.3,47.8,0.1,57.8,60.3,102.7,54.4
J. Holiday - K. Porzingis - J. Brown - J. Tatum - D. White,BOS,19,313,121.2,103.6,17.6,60.7,1.96,20,25.7,73.5,52.3,0.1,61.5,64.4,101.95,59.4
D. DeRozan - N. Vucevic - C. White - P. Williams - A. Dosunmu,CHI,15,126,119.8,102.3,17.5,69.4,3.21,21,25.6,72.1,49.4,0.1,54.7,58.7,99.05,56.6
T. Harris - J. Embiid - K. Oubre Jr. - D. Melton - T. Maxey,PHI,10,109,119.7,118.3,1.3,61.9,2.07,18.5,24.5,74.5,49.5,0.1,55.1,61.4,105.72,50.9
M. Turner - B. Brown - O. Toppin - T. Haliburton - B. Mathurin,IND,20,148,118.6,122.6,-4,64.2,2,19.1,30.4,70.7,50.7,0.1,55.8,60.6,106.41,47.6
T. Jones - K. Kuzma - D. Gafford - J. Poole - D. Avdija,WAS,32,433,118.4,119.7,-1.3,61.4,2.38,20.4,23.7,67.4,46.7,0.1,58,60.4,105.5,49.1
C. Capela - D. Murray - T. Young - D. Hunter - S. Bey,ATL,16,177,118.4,115.5,2.9,57.7,2.2,17.9,35.4,72.4,52.4,0.1,53.9,56.9,106.49,50.3
S. Gilgeous-Alexander - L. Dort - J. Giddey - C. Holmgren - J. Williams,OKC,29,384,118.2,111.2,7.1,66,2.4,21.2,23.4,69,47.9,0.1,58.5,61.7,105.44,54.1
J. Randle - I. Hartenstein - J. Brunson - D. DiVincenzo - R. Barrett,NYK,10,102,117,127.4,-10.4,57,1.56,16.6,38.4,75.8,55.9,0.2,51.5,57.3,104.27,46.8
S. Dinwiddie - D. Finney-Smith - M. Bridges - N. Claxton - C. Johnson,BKN,20,204,116.5,107.4,9.1,64.3,2.39,18.5,32.9,74.6,53.1,0.1,52.8,56.3,98.03,53.9
F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.,HOU,27,446,114.5,107.2,7.3,68.8,2.28,21.1,26.7,75.2,52.7,0.1,55.4,58.4,98.7,54.2
J. Valanciunas - C. McCollum - B. Ingram - Z. Williamson - H. Jones,NOP,18,228,114.5,119,-4.5,62.6,1.84,19.6,29.4,74.2,52.2,0.1,56.7,59.9,102.46,50
A. Horford - J. Holiday - J. Brown - J. Tatum - D. White,BOS,15,127,114.3,114,0.3,62.5,2.5,18.6,24.8,74.6,50.2,0.1,56.6,58.9,103.23,51
H. Barnes - D. Sabonis - D. Fox - C. Duarte - K. Murray,SAC,9,106,114.3,110.7,3.6,55.9,1.36,17.5,37.3,80.4,56.7,0.2,55.7,56.6,101.75,48.3
M. Conley - R. Gobert - K. Towns - A. Edwards - J. McDaniels,MIN,23,309,114,112.3,1.7,60.4,1.79,18.9,26.3,70.7,49.6,0.1,56,59.5,98.58,51.5
R. Jackson - K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr.,DEN,22,239,113.6,106.5,7.2,70.1,2.49,21.3,26.1,77.1,51.1,0.1,55.4,58.9,103.64,53
C. Capela - D. Murray - T. Young - D. Hunter - J. Johnson,ATL,14,172,113,119,-6.1,56.9,1.81,17,28.7,66.1,46.7,0.1,53,57.1,103.97,47.6
D. DeRozan - N. Vucevic - A. Caruso - C. White - P. Williams,CHI,11,121,112.8,106.7,6.1,59.4,2.22,17.7,24.8,75.4,49.8,0.1,54.1,58.6,99.87,51.3
F. VanVleet - J. Green - J. Tate - A. Sengun - J. Smith Jr.,HOU,16,135,112.7,115.3,-2.6,59.3,2.13,17.9,19.8,71.8,45.8,0.1,54.5,58.3,96.52,47.1
D. Schroder - J. Poeltl - P. Siakam - O. Anunoby - S. Barnes,TOR,27,366,112.5,113.4,-0.9,69.7,2.37,21.8,25.6,75.5,51.1,0.1,56.1,58.3,100.85,51
D. Mitchell - J. Allen - M. Strus - D. Garland - E. Mobley,CLE,11,145,111.7,107.1,4.5,58,1.45,18.5,32.6,68,50.9,0.2,55.5,58.6,102.26,52.2
J. Clarkson - L. Markkanen - J. Collins - O. Agbaji - K. George,UTA,8,122,111.4,119.5,-8.1,60.8,1.82,17.4,31.3,71.2,50.2,0.1,52,55.9,100.36,44.6
J. Randle - J. Brunson - M. Robinson - R. Barrett - Q. Grimes,NYK,14,228,111.2,104.8,6.4,55.3,1.64,16.2,29,70,49.5,0.1,52.3,56,100.13,50.8
M. Conley - R. Gobert - K. Towns - N. Alexander-Walker - A. Edwards,MIN,15,119,111.1,100.8,10.3,61.9,1.67,18.7,25.4,73.3,50.2,0.2,55.7,58,101.04,56
G. Bitadze - F. Wagner - J. Suggs - P. Banchero - A. Black,ORL,21,254,111,104.9,6,58.8,1.56,18,31.4,76.3,54,0.2,54.1,57.5,103.14,54.3
L. James - A. Davis - D. Russell - T. Prince - A. Reaves,LAL,22,129,110.7,110,0.7,67.5,2.32,19.8,24.8,71.5,49.1,0.1,54.5,58.7,106.08,52.8
I. Hartenstein - J. Hart - D. DiVincenzo - R. Barrett - I. Quickley,NYK,14,116,110.6,102.3,8.2,58.6,1.61,16.7,34.6,69.5,51.4,0.1,51.4,55.1,103.6,51.9
D. DeRozan - N. Vucevic - Z. LaVine - C. White - P. Williams,CHI,12,107,110.1,123.2,-13.1,50.5,1.92,16,20.5,81.8,47.5,0.1,53.3,56.2,98.13,40.5
C. Capela - D. Murray - T. Young - S. Bey - J. Johnson,ATL,12,134,109.7,126.1,-16.4,59.1,1.48,16.3,37.7,68.1,51.7,0.2,49.1,52.8,105.63,39.8
L. James - A. Davis - D. Russell - T. Prince - C. Reddish,LAL,14,151,108.8,108.5,0.3,73.1,2,21.3,21.5,70.9,48.1,0.1,54.8,58.3,104.96,51.8
S. Curry - K. Thompson - D. Green - A. Wiggins - K. Looney,GSW,11,133,108.8,118.6,-9.8,69.9,1.36,17.5,38,80.2,57.2,0.2,51.6,55.9,101.3,44.8
J. Grant - M. Brogdon - D. Ayton - S. Sharpe - T. Camara,POR,10,113,106.8,113.4,-6.7,60.2,1.35,15.6,28.8,68,46.8,0.2,49,55.6,101.05,44.3
D. DeRozan - N. Vucevic - Z. LaVine - A. Caruso - C. White,CHI,13,148,106.2,110.4,-4.2,61.2,1.54,17.7,18.5,67.6,43.9,0.1,53.5,57.7,99.44,46.5
S. Dinwiddie - M. Bridges - N. Claxton - C. Johnson - C. Thomas,BKN,16,157,103.3,125.8,-22.6,63.1,2.16,18.2,18.3,71,42.2,0.1,50.5,53.5,102.72,37.5
D. Schroder - J. Poeltl - P. Siakam - O. Anunoby - G. Trent Jr.,TOR,24,102,100.4,115.5,-15.1,64.8,1.97,18.8,26.4,76.5,48.2,0.1,52.3,54.1,104.84,43
J. Randle - J. Hart - J. Brunson - M. Robinson - Q. Grimes,NYK,19,109,99.6,111.8,-12.2,53.7,1.57,13.8,37.6,76.5,53.9,0.1,46,47.7,97.44,43.2
T. Jones - K. Kuzma - D. Gafford - J. Poole - B. Coulibaly,WAS,21,106,93.3,124.8,-31.5,68.2,2.07,18.2,18,58.4,36.3,0.1,47.3,50.4,107.75,35